id,customer_id,service_name,status,date_slot,address,vendor_name,amount,created_at
2000001,1000096,Washing Machine Repair,Pending,2026-03-12 10:00 AM - 11:00 AM,"Street 96, City",Vendor A,100,2026-02-10 16:46:03
2000002,1000003,AC Repair,Completed,2026-03-03 02:00 PM - 03:00 PM,"Street 3, City",Vendor C,200,2026-02-10 16:46:03
2000003,1000092,AC Repair,Completed,2026-02-28 10:00 AM - 11:00 AM,"Street 92, City",Vendor A,100,2026-02-10 16:46:03
2000004,1000011,AC Repair,Pending,2026-02-15 05:00 PM - 06:00 PM,"Street 11, City",Vendor B,150,2026-02-10 16:46:03
2000005,1000006,Fridge Repair,Pending,2026-03-11 04:00 PM - 05:00 PM,"Street 6, City",Vendor B,150,2026-02-10 16:46:03
2000006,1000055,Washing Machine Repair,Cancelled,2026-02-20 04:00 PM - 05:00 PM,"Street 55, City",Vendor C,200,2026-02-10 16:46:03
2000007,1000047,AC Repair,Completed,2026-03-01 04:00 PM - 05:00 PM,"Street 47, City",Vendor C,200,2026-02-10 16:46:03
2000008,1000036,Fridge Repair,Cancelled,2026-02-15 01:00 PM - 02:00 PM,"Street 36, City",Vendor A,100,2026-02-10 16:46:03
2000009,1000099,AC Repair,Pending,2026-02-21 01:00 PM - 02:00 PM,"Street 99, City",Vendor B,150,2026-02-10 16:46:03
2000010,1000020,AC Repair,Completed,2026-02-24 12:00 PM - 01:00 PM,"Street 20, City",Vendor C,200,2026-02-10 16:46:03
2000011,1000065,Washing Machine Repair,Completed,2026-02-23 11:00 AM - 12:00 PM,"Street 65, City",Vendor B,150,2026-02-10 16:46:03
2000012,1000002,TV Repair,Pending,2026-03-03 05:00 PM - 06:00 PM,"Street 2, City",Vendor C,200,2026-02-10 16:46:03
2000013,1000029,Washing Machine Repair,Cancelled,2026-03-07 11:00 AM - 12:00 PM,"Street 29, City",Vendor C,200,2026-02-10 16:46:03
2000014,1000032,AC Repair,Completed,2026-03-04 12:00 PM - 01:00 PM,"Street 32, City",Vendor C,200,2026-02-10 16:46:03
2000015,1000074,TV Repair,Pending,2026-02-22 09:00 AM - 10:00 AM,"Street 74, City",Vendor A,100,2026-02-10 16:46:03
2000016,1000062,Fridge Repair,Pending,2026-03-07 05:00 PM - 06:00 PM,"Street 62, City",Vendor A,100,2026-02-10 16:46:03
2000017,1000029,AC Repair,Cancelled,2026-02-22 01:00 PM - 02:00 PM,"Street 29, City",Vendor C,200,2026-02-10 16:46:03
2000018,1000038,Fridge Repair,Completed,2026-03-06 01:00 PM - 02:00 PM,"Street 38, City",Vendor C,200,2026-02-10 16:46:03
2000019,1000029,Fridge Repair,Completed,2026-03-06 05:00 PM - 06:00 PM,"Street 29, City",Vendor C,200,2026-02-10 16:46:03
2000020,1000072,Fridge Repair,Completed,2026-03-09 05:00 PM - 06:00 PM,"Street 72, City",Vendor B,150,2026-02-10 16:46:03
2000021,1000031,AC Repair,Pending,2026-02-19 02:00 PM - 03:00 PM,"Street 31, City",Vendor A,100,2026-02-10 16:46:03
2000022,1000099,Washing Machine Repair,Completed,2026-02-16 10:00 AM - 11:00 AM,"Street 99, City",Vendor A,100,2026-02-10 16:46:03
2000023,1000077,Washing Machine Repair,Cancelled,2026-02-20 05:00 PM - 06:00 PM,"Street 77, City",Vendor A,100,2026-02-10 16:46:03
2000024,1000022,TV Repair,Pending,2026-03-07 10:00 AM - 11:00 AM,"Street 22, City",Vendor C,200,2026-02-10 16:46:03
2000025,1000009,Washing Machine Repair,Cancelled,2026-02-26 10:00 AM - 11:00 AM,"Street 9, City",Vendor B,150,2026-02-10 16:46:03
2000026,1000044,TV Repair,Cancelled,2026-03-05 03:00 PM - 04:00 PM,"Street 44, City",Vendor A,100,2026-02-10 16:46:03
2000027,1000051,TV Repair,Completed,2026-03-09 05:00 PM - 06:00 PM,"Street 51, City",Vendor A,100,2026-02-10 16:46:03
2000028,1000073,Fridge Repair,Completed,2026-02-13 03:00 PM - 04:00 PM,"Street 73, City",Vendor A,100,2026-02-10 16:46:03
2000029,1000078,Fridge Repair,Cancelled,2026-02-27 09:00 AM - 10:00 AM,"Street 78, City",Vendor C,200,2026-02-10 16:46:03
2000030,1000075,TV Repair,Cancelled,2026-03-02 11:00 AM - 12:00 PM,"Street 75, City",Vendor B,150,2026-02-10 16:46:03
2000031,1000058,TV Repair,Completed,2026-02-26 01:00 PM - 02:00 PM,"Street 58, City",Vendor A,100,2026-02-10 16:46:03
2000032,1000017,AC Repair,Pending,2026-02-18 03:00 PM - 04:00 PM,"Street 17, City",Vendor B,150,2026-02-10 16:46:03
2000033,1000011,AC Repair,Cancelled,2026-03-10 05:00 PM - 06:00 PM,"Street 11, City",Vendor C,200,2026-02-10 16:46:03
2000034,1000060,TV Repair,Pending,2026-02-11 11:00 AM - 12:00 PM,"Street 60, City",Vendor B,150,2026-02-10 16:46:03
2000035,1000072,AC Repair,Cancelled,2026-02-15 04:00 PM - 05:00 PM,"Street 72, City",Vendor C,200,2026-02-10 16:46:03
2000036,1000100,Fridge Repair,Cancelled,2026-02-22 11:00 AM - 12:00 PM,"Street 100, City",Vendor A,100,2026-02-10 16:46:03
2000037,1000084,AC Repair,Cancelled,2026-03-01 04:00 PM - 05:00 PM,"Street 84, City",Vendor A,100,2026-02-10 16:46:03
2000038,1000042,TV Repair,Completed,2026-03-12 02:00 PM - 03:00 PM,"Street 42, City",Vendor A,100,2026-02-10 16:46:03
2000039,1000007,AC Repair,Completed,2026-02-28 02:00 PM - 03:00 PM,"Street 7, City",Vendor B,150,2026-02-10 16:46:03
